book,chapter,testament
Romans,8,new
Romans,9,new
Romans,10,new
Romans,11,new
Romans,12,new
Romans,13,new
Romans,14,new
Romans,15,new
Romans,16,new
1 Corinthians,1,new
1 Corinthians,2,new
1 Corinthians,3,new
1 Corinthians,4,new
1 Corinthians,5,new
1 Corinthians,6,new
1 Corinthians,7,new
1 Corinthians,8,new
1 Corinthians,9,new
1 Corinthians,10,new
1 Corinthians,11,new
1 Corinthians,12,new
1 Corinthians,13,new
1 Corinthians,14,new
1 Corinthians,15,new
1 Corinthians,16,new
2 Corinthians,1,new
2 Corinthians,2,new
2 Corinthians,3,new
2 Corinthians,4,new
2 Corinthians,5,new
2 Corinthians,6,new
2 Corinthians,7,new
2 Corinthians,8,new
2 Corinthians,9,new
2 Corinthians,10,new
2 Corinthians,11,new
2 Corinthians,12,new
2 Corinthians,13,new
Galatians,1,new
Galatians,2,new
Galatians,3,new
Galatians,4,new
Galatians,5,new
Galatians,6,new
Ephesians,1,new
Ephesians,2,new
Ephesians,3,new
Ephesians,4,new
Ephesians,5,new
Ephesians,6,new
Philippians,1,new
Philippians,2,new
Philippians,3,new
Philippians,4,new
Colossians,1,new
Colossians,2,new
Colossians,3,new
Colossians,4,new
1 Thessalonians,1,new
1 Thessalonians,2,new
1 Thessalonians,3,new
1 Thessalonians,4,new
1 Thessalonians,5,new
2 Thessalonians,1,new
2 Thessalonians,2,new
2 Thessalonians,3,new
1 Timothy,1,new
1 Timothy,2,new
1 Timothy,3,new
1 Timothy,4,new
1 Timothy,5,new
1 Timothy,6,new
2 Timothy,1,new
2 Timothy,2,new
2 Timothy,3,new
2 Timothy,4,new
Titus,1,new
Titus,2,new
Titus,3,new
Philemon,1,new
Hebrews,1,new
Hebrews,2,new
Hebrews,3,new
Hebrews,4,new
Hebrews,5,new
Hebrews,6,new
Hebrews,7,new
Hebrews,8,new
Hebrews,9,new
Hebrews,10,new
Hebrews,11,new
Hebrews,12,new
Hebrews,13,new
James,1,new
James,2,new
James,3,new
James,4,new
James,5,new
1 Peter,1,new
1 Peter,2,new
1 Peter,3,new
1 Peter,4,new
1 Peter,5,new
2 Peter,1,new
2 Peter,2,new
2 Peter,3,new
1 John,1,new
1 John,2,new
1 John,3,new
1 John,4,new
1 John,5,new
2 John,1,new
3 John,1,new
Jude,1,new
Revelation,1,new
Revelation,2,new
Revelation,3,new
Revelation,4,new
Revelation,5,new
Revelation,6,new
Revelation,7,new
Revelation,8,new
Revelation,9,new
Revelation,10,new
Revelation,11,new
Revelation,12,new
